Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
7007,Alboussière,200041366,7.6,3.9
7008,Alissas,200071413,nd,8.1
7009,Andance,200040491,nd,6.2
7010,Annonay,200072015,nd,6.7
7011,Vallées-d'Antraigues-Asperjoc,200073245,nd,8.9
7012,Arcens,200041465,nd,7.1
7013,Ardoix,200072015,nd,6.7
7014,Arlebosc,200073096,nd,5.4
7015,Arras-sur-Rhône,200040491,nd,6.2
7017,Les Assions,200039832,nd,11.7
7018,Astet,200072007,nd,9.4
7019,Aubenas,200073245,nd,8.9
7020,Aubignas,200071405,nd,8.1
7022,Baix,200071405,nd,8.1
7023,Balazuc,200039808,nd,7
7024,Banne,200039832,nd,11.7
7025,Barnas,200039824,nd,8.7
7026,Le Béage,200072007,nd,9.4
7027,Beauchastel,200071413,nd,8.1
7028,Beaulieu,200039832,nd,11.7
7029,Beaumont,240700302,nd,11.6
7030,Beauvène,200071413,nd,8.1
7031,Berrias-et-Casteljau,200039832,nd,11.7
7032,Berzème,240700815,nd,7.6
7033,Bessas,200039808,nd,7
7034,Bidon,240700864,7,7.4
7035,Boffres,200041366,9.4,3.9
7036,Bogy,200072015,nd,6.7
7037,Borée,200072007,nd,9.4
7038,Borne,200072007,nd,9.4
7039,Bozas,200073096,nd,5.4
7040,Boucieu-le-Roi,200073096,nd,5.4
7041,Boulieu-lès-Annonay,200072015,nd,6.7
7042,Bourg-Saint-Andéol,240700864,9.9,7.4
7044,Brossainc,200072015,nd,6.7
7045,Burzet,200039824,nd,8.7
7047,Cellier-du-Luc,200072007,nd,9.4
7048,Chalencon,200071413,nd,8.1
7049,Le Chambon,200041465,nd,7.1
7050,Chambonas,200039832,nd,11.7
7051,Champagne,200040491,nd,6.2
7052,Champis,200041366,6.1,3.9
7053,Chandolas,240700302,nd,11.6
7054,Chanéac,200041465,nd,7.1
7055,Charmes-sur-Rhône,200041366,4.2,3.9
7056,Charnas,200072015,nd,6.7
7058,Chassiers,240700617,nd,10.7
7059,Châteaubourg,200041366,5.8,3.9
7060,Châteauneuf-de-Vernoux,200071413,nd,8.1
7061,Chauzon,200039808,nd,7
7062,Chazeaux,240700617,nd,10.7
7063,Cheminas,200073096,nd,5.4
7064,Le Cheylard,200041465,nd,7.1
7065,Chirols,200039824,nd,8.7
7066,Chomérac,200071413,nd,8.1
7067,Colombier-le-Cardinal,200072015,nd,6.7
7068,Colombier-le-Jeune,200073096,nd,5.4
7069,Colombier-le-Vieux,200073096,nd,5.4
7070,Cornas,200041366,3.3,3.9
7071,Coucouron,200072007,nd,9.4
7072,Coux,200071413,nd,8.1
7073,Le Crestet,200016905,nd,8.7
7074,Creysseilles,200071413,nd,8.1
7075,Cros-de-Géorand,200072007,nd,9.4
7076,Cruas,200071405,nd,8.1
7077,Darbres,240700815,nd,7.6
7078,Davézieux,200072015,nd,6.7
7079,Désaignes,200016905,nd,8.7
7080,Devesset,200041465,nd,7.1
7081,Dompnac,240700302,nd,11.6
7082,Dornas,200041465,nd,7.1
7083,Dunière-sur-Eyrieux,200071413,nd,8.1
7084,Eclassan,200040491,nd,6.2
7085,Empurany,200016905,nd,8.7
7086,Étables,200073096,nd,5.4
7087,Fabras,200039824,nd,8.7
7088,Faugères,240700302,nd,11.6
7089,Félines,200072015,nd,6.7
7090,Flaviac,200071413,nd,8.1
7091,Fons,200073245,nd,8.9
7092,Freyssenet,200071413,nd,8.1
7093,Genestelle,200073245,nd,8.9
7094,Gilhac-et-Bruzac,200071413,nd,8.1
7095,Gilhoc-sur-Ormèze,200016905,nd,8.7
7096,Gluiras,200071413,nd,8.1
7097,Glun,200073096,nd,5.4
7098,Gourdon,200071413,nd,8.1
7099,Gras,240700864,4.2,7.4
7100,Gravières,200039832,nd,11.7
7101,Grospierres,200039808,nd,7
7102,Guilherand-Granges,200041366,3.5,3.9
7103,Saint-Julien-d'Intres,200041465,nd,7.1
7104,Issamoulenc,200041465,nd,7.1
7105,Issanlas,200072007,nd,9.4
7106,Issarlès,200072007,nd,9.4
7107,Jaujac,200039824,nd,8.7
7108,Jaunac,200041465,nd,7.1
7109,Joannas,240700617,nd,10.7
7110,Joyeuse,240700302,nd,11.6
7111,Juvinas,200073245,nd,8.9
7112,Labastide-sur-Bésorgues,200073245,nd,8.9
7113,Labastide-de-Virac,200039808,nd,7
7114,Labatie-d'Andaure,200016905,nd,8.7
7115,Labeaume,200039808,nd,7
7116,Labégude,200073245,nd,8.9
7117,Lablachère,240700302,nd,11.6
7118,Laboule,240700302,nd,11.6
7119,Le Lac-d'Issarlès,200072007,nd,9.4
7120,Lachamp-Raphaël,200072007,nd,9.4
7121,Lachapelle-Graillouse,200072007,nd,9.4
7122,Lachapelle-sous-Aubenas,200073245,nd,8.9
7123,Lachapelle-sous-Chanéac,200041465,nd,7.1
